,nothing,PV,BESS,HP,WBX,PV+BESS,PV+HP,PV+WBX,BESS+HP,BESS+WBX,HP+WBX,PV+BESS+HP,PV+BESS+WBX,PV+HP+WBX,BESS+HP+WBX,all
nothing,,,,,,0.5,,,,,,,,,,
PV,,,,,,,,,,,,,,,,
BESS,,,,,,,,,,,,,,,,
HP,,,,,,,,,,,,,,,,
WBX,,,,,,,,,,,,,,,,
PV+BESS,,,,,,,,,,,,,,,,
PV+HP,,,,,,,,,,,,,,,,
PV+WBX,,,,,,,,,,,,,,,,
BESS+HP,,,,,,,,,,,,,,,,
BESS+WBX,,,,,,,,,,,,,,,,
HP+WBX,,,,,,,,,,,,,,,,
PV+BESS+HP,,,,,,,,,,,,,,,,
PV+BESS+WBX,,,,,,,,,,,,,,,,
PV+HP+WBX,,,,,,,,,,,,,,,,
BESS+HP+WBX,,,,,,,,,,,,,,,,
all,,,,,,,,,,,,,,,,
