Required Tables in the Data Input Folder,
,
Table Name,Description
time_indices,List of time indices
general_data_information,"General information about the data in a key-value-structure, it requires the following keys (i.e. number of elements in the data): n_timesteps, n_substations, n_control_units, n_measurement_units"
list_of_substations,List of substations
list_of_control_units,List of control units
list_of_measurement_units,List of measurement units
GlobalProfilePV ,Global PV feedin (normalized)
GlobalProfileWind ,Global wind farm feedin (normalized)
